name,state_code,latitude,longitude
Abbeville,GA,31.99212,-83.30682
Acworth,GA,34.06635,-84.67837
Adairsville,GA,34.3687,-84.93411
Adel,GA,31.13727,-83.42408
Alamo,GA,32.14712,-82.77792
Albany,GA,31.57851,-84.15574
Alma,GA,31.53937,-82.46236
Alpharetta,GA,34.07538,-84.29409
Alto,GA,34.46732,-83.57378
Americus,GA,32.07239,-84.23269
Appling County,GA,31.74928,-82.28898
Aragon,GA,34.04565,-85.05606
Arcade,GA,34.07789,-83.56155
Arlington,GA,31.4399,-84.72492
Ashburn,GA,31.70601,-83.65322
Athens,GA,33.96095,-83.37794
Atkinson County,GA,31.29711,-82.87999
Atlanta,GA,33.749,-84.38798
Auburn,GA,34.01372,-83.82768
Augusta,GA,33.47097,-81.97484
Austell,GA,33.81261,-84.63438
Avondale Estates,GA,33.77149,-84.26714
Bacon County,GA,31.55367,-82.45269
Bainbridge,GA,30.9038,-84.57547
Baker County,GA,31.32618,-84.44467
Baldwin,GA,34.49177,-83.53739
Baldwin County,GA,33.06928,-83.24959
Ball Ground,GA,34.33815,-84.37659
Banks County,GA,34.35413,-83.49737
Barnesville,GA,33.05457,-84.15575
Barrow County,GA,33.9932,-83.71276
Bartow County,GA,34.23786,-84.8405
Baxley,GA,31.77825,-82.34846
Belvedere Park,GA,33.75483,-84.26742
Ben Hill County,GA,31.75978,-83.22046
Berkeley Lake,GA,33.98371,-84.18658
Berrien County,GA,31.27606,-83.22962
Bibb County,GA,32.80659,-83.69776
Blackshear,GA,31.30605,-82.24207
Blairsville,GA,34.8762,-83.95824
Blakely,GA,31.37768,-84.93409
Bleckley County,GA,32.43444,-83.32784
Bloomingdale,GA,32.13242,-81.299
Blue Ridge,GA,34.86397,-84.32409
Bogart,GA,33.94928,-83.53461
Bonanza,GA,33.46567,-84.33659
Boston,GA,30.79186,-83.78989
Bowdon,GA,33.53789,-85.25328
Brantley County,GA,31.19688,-81.9819
Braselton,GA,34.10927,-83.76267
Bremen,GA,33.72122,-85.1455
Brookhaven,GA,33.85844,-84.3402
Brooklet,GA,32.37963,-81.66317
Brooks County,GA,30.84197,-83.58021
Broxton,GA,31.62519,-82.88681
Brunswick,GA,31.14995,-81.49149
Bryan County,GA,32.01322,-81.44247
Buchanan,GA,33.8026,-85.18856
Buena Vista,GA,32.31904,-84.51714
Buford,GA,34.12066,-84.00435
Bulloch County,GA,32.39681,-81.74318
Burke County,GA,33.06115,-82.00078
Butler,GA,32.55709,-84.23825
Butts County,GA,33.28785,-83.95717
Byron,GA,32.65376,-83.75963
Cairo,GA,30.87751,-84.20214
Calhoun,GA,34.50259,-84.95105
Calhoun County,GA,31.5292,-84.62451
Camden County,GA,30.92249,-81.63639
Camilla,GA,31.23129,-84.21046
Candler County,GA,32.40344,-82.07367
Candler-McAfee,GA,33.72672,-84.27246
Canton,GA,34.23676,-84.49076
Carnesville,GA,34.36983,-83.23516
Carroll County,GA,33.58282,-85.07974
Carrollton,GA,33.58011,-85.07661
Cartersville,GA,34.16533,-84.80231
Catoosa County,GA,34.90366,-85.13825
Cave Spring,GA,34.1076,-85.33634
Cedartown,GA,34.01123,-85.25593
Centerville,GA,32.63014,-83.68963
Chamblee,GA,33.89205,-84.29881
Charlton County,GA,30.78172,-82.13769
Chatham County,GA,31.97402,-81.09243
Chatsworth,GA,34.76591,-84.76994
Chattahoochee County,GA,32.34697,-84.78705
Chattahoochee Hills,GA,33.55063,-84.76049
Chattanooga Valley,GA,34.93285,-85.35551
Chattooga County,GA,34.47502,-85.34529
Cherokee County,GA,34.24393,-84.4762
Chester,GA,32.39378,-83.15293
Chickamauga,GA,34.87119,-85.29079
Clarke County,GA,33.95117,-83.36733
Clarkesville,GA,34.6126,-83.52489
Clarkston,GA,33.80955,-84.23964
Claxton,GA,32.16158,-81.904
Clay County,GA,31.62628,-84.9801
Clayton,GA,34.87815,-83.40099
Clayton County,GA,33.54189,-84.35769
Cleveland,GA,34.59704,-83.76324
Clinch County,GA,30.91495,-82.70624
Cobb County,GA,33.94147,-84.57667
Cochran,GA,32.38683,-83.35461
Coffee County,GA,31.54927,-82.8492
College Park,GA,33.65344,-84.44937
Colquitt,GA,31.17129,-84.73325
Colquitt County,GA,31.18839,-83.76885
Columbia County,GA,33.54412,-82.26406
Columbus,GA,32.46098,-84.98771
Comer,GA,34.06372,-83.12543
Commerce,GA,34.204,-83.45711
Conley,GA,33.64483,-84.32576
Conyers,GA,33.66761,-84.01769
Cook County,GA,31.15399,-83.43047
Cordele,GA,31.96351,-83.78239
Cornelia,GA,34.51149,-83.52712
Country Club Estates,GA,31.21273,-81.46427
Covington,GA,33.59678,-83.86018
Coweta County,GA,33.35346,-84.76337
Crawford County,GA,32.7145,-83.98634
Crawfordville,GA,33.55402,-82.89598
Crisp County,GA,31.92293,-83.7681
Cumming,GA,34.20732,-84.14019
Cusseta,GA,32.30543,-84.7727
Cuthbert,GA,31.77127,-84.78937
Dacula,GA,33.98872,-83.89796
Dade County,GA,34.85452,-85.50453
Dahlonega,GA,34.53259,-83.98491
Dallas,GA,33.92371,-84.84077
Dalton,GA,34.7698,-84.97022
Danielsville,GA,34.12428,-83.22126
Darien,GA,31.37023,-81.43399
Davisboro,GA,32.97904,-82.60791
Dawson,GA,31.77382,-84.448
Dawson County,GA,34.4443,-84.17064
