name,state_code,latitude,longitude
Abbottstown,PA,39.88649,-76.9847
Adams County,PA,39.87145,-77.21789
Adamstown,PA,40.2412,-76.05633
Akron,PA,40.15676,-76.20217
Albion,PA,41.89061,-80.36645
Alburtis,PA,40.51093,-75.60297
Aldan,PA,39.9215,-75.28796
Aliquippa,PA,40.63673,-80.24006
Allegheny County,PA,40.46883,-79.98119
Alleghenyville,PA,40.23426,-75.98855
Allentown,PA,40.60843,-75.49018
Allison Park,PA,40.55951,-79.95867
Almedia,PA,41.01453,-76.38105
Altoona,PA,40.51868,-78.39474
Ambler,PA,40.15455,-75.22157
Ambridge,PA,40.58923,-80.22506
Amity Gardens,PA,40.27426,-75.73519
Ancient Oaks,PA,40.54732,-75.58935
Annville,PA,40.32954,-76.51524
Apollo,PA,40.58145,-79.56643
Archbald,PA,41.4948,-75.53685
Ardmore,PA,40.00678,-75.28546
Arlington Heights,PA,40.99009,-75.21629
Armstrong County,PA,40.81229,-79.46454
Arnold,PA,40.58007,-79.76672
Ashland,PA,40.78175,-76.34578
Ashley,PA,41.21036,-75.89659
Aspinwall,PA,40.49146,-79.90477
Atglen,PA,39.94927,-75.97356
Athens,PA,41.9573,-76.518
Audubon,PA,40.12788,-75.43185
Avalon,PA,40.5009,-80.06756
Avis,PA,41.18479,-77.31386
Avoca,PA,41.3398,-75.7363
Avon,PA,40.34565,-76.38996
Avondale,PA,39.82344,-75.78327
Avonia,PA,42.04561,-80.26979
Back Mountain,PA,41.33591,-75.99631
Baden,PA,40.63507,-80.22812
Baidland,PA,40.19479,-79.97088
Bainbridge,PA,40.09093,-76.66747
Bakerstown,PA,40.6509,-79.93644
Bala-Cynwyd,PA,40.00761,-75.23407
Baldwin,PA,40.33813,-79.97894
Bally,PA,40.40232,-75.58713
Bangor,PA,40.86565,-75.20657
Barnesboro,PA,40.66257,-78.78003
Bath,PA,40.72565,-75.39407
Bear Rocks,PA,40.12285,-79.4617
Beaver,PA,40.69534,-80.30478
Beaver County,PA,40.68226,-80.34929
Beaver Falls,PA,40.75201,-80.31923
Beaverdale,PA,40.32202,-78.69696
Bedford,PA,40.01869,-78.50391
Bedford County,PA,40.00656,-78.49032
Bedminster,PA,40.42594,-75.17906
Beech Mountain Lakes,PA,41.04158,-75.93545
Belfast,PA,40.78065,-75.27796
Bell Acres,PA,40.59007,-80.16645
Belle Vernon,PA,40.12507,-79.86644
Bellefonte,PA,40.91339,-77.77833
Belleville,PA,40.60507,-77.72555
Bellevue,PA,40.49396,-80.05172
Bellwood,PA,40.6034,-78.32474
Belmont,PA,40.2873,-78.88947
Ben Avon,PA,40.50812,-80.08311
Bentleyville,PA,40.11674,-80.00839
Berks County,PA,40.4163,-75.926
Berlin,PA,39.92064,-78.9578
Berwick,PA,41.05453,-76.23327
Berwyn,PA,40.04483,-75.43881
Bessemer,PA,40.97478,-80.49368
Bethel Park,PA,40.32757,-80.0395
Bethlehem,PA,40.62593,-75.37046
Big Bass Lake,PA,41.25383,-75.47644
Big Beaver,PA,40.82451,-80.36284
Biglerville,PA,39.93037,-77.24804
Birchwood Lakes,PA,41.25454,-74.9185
Birdsboro,PA,40.26454,-75.80409
Black Lick,PA,40.4725,-79.18688
Blair County,PA,40.481,-78.3486
Blairsville,PA,40.43118,-79.26087
Blakely,PA,41.48091,-75.59463
Blandon,PA,40.4412,-75.88687
Blawnox,PA,40.4934,-79.86061
Bloomfield,PA,40.4609,-79.95089
Bloomsburg,PA,41.0037,-76.45495
Blossburg,PA,41.67952,-77.06386
Blue Ball,PA,40.11871,-76.04717
Blue Bell,PA,40.15233,-75.26629
Boalsburg,PA,40.77562,-77.7925
Boiling Springs,PA,40.14981,-77.12831
Bonneauville,PA,39.81204,-77.13721
